Sagarawat Electricals,,,,,
List of Items,,,,,
Name,Parent Group,Unit,Price,Disc,Nett
ABB SWITCHGEAR,INDL,Nos,6400,10,5760
"AIR VENT 4"",INDL,Nos,85.00,,85.00
ALMNRD AIR CIRCULATOR 450MM PED""",ALMONARD,Nos,8800,,8800
ALMNRD AIR CIRCULATOR 450MM WALL,ALMONARD,Nos,8400,,8400
ALMNRD AIR CIRCULATOR 600MM PED,ALMONARD,Nos,12100,,12100
ALMNRD AIR CIRCULATOR 600MM WALL,ALMONARD,Nos,11500,,11500
"ALMNRD EX FAN 18"",ALMONARD,Nos,5800.00,,5800.00
ALMNRD PEDESTAL FAN 450MM MARK-II""",ALMONARD,Nos,5800,,5800
ALMNRD REGULATOR UNIT 600MM WALL,ALMONARD,Nos,2000,,2000
ALMONARD WALL FAN 450MM MARK-II,ALMONARD,Nos,5300,,5300
ALU BUS BAR STRIP,INDL,Kgs,600,,600
"AMARYLLIS FLEX DUCT PIPE 4 - 10 Ft.""",AMARYLLIS,Nos,900,15,765
"AMARYLLIS FLEX DUCT PIPE 6 - 10 Ft.""",AMARYLLIS,Nos,1150,15,977.5
AMARYLLIS GRILL FGS-4,AMARYLLIS,Nos,590,15,501.5
AMARYLLIS GRILL G4 SS,AMARYLLIS,Nos,1650,15,1402.5
AMARYLLIS GRILL G6 SS,AMARYLLIS,Nos,2400,15,2040
AMARYLLIS GRILL GS-6,AMARYLLIS,Nos,690,15,586.5
AMARYLLIS ROUND METAL DIFFUSER - 4,AMARYLLIS,Nos,800,15,680
AMARYLLIS ROUND METAL DIFFUSER - 6,AMARYLLIS,Nos,950,15,807.5
AMARYLLIS ROUND PLASTIC DIFFUSER - 4,AMARYLLIS,Nos,800,15,680
AMARYLLIS ROUND PLASTIC DIFFUSER - 6,AMARYLLIS,Nos,950,15,807.5
"AMARYLLIS SQUARE METAL GRILL 10 x 10""""",AMARYLLIS,Nos,1020,15,867
"AMARYLLIS SQUARE METAL GRILL 12 x 12""""",AMARYLLIS,Nos,1150,15,977.5
"AMARYLLIS SQUARE METAL GRILL 8 x 8""""",AMARYLLIS,Nos,830,15,705.5
AMARYLLIS V FAN ALPHA-4,AMARYLLIS,Nos,2090,15,1776.5
AMARYLLIS V FAN ALPHA-8,AMARYLLIS,Nos,4650,15,3952.5
AMARYLLIS V FAN BETA-4,AMARYLLIS,Nos,2400,15,2040
AMARYLLIS V FAN BETA-5,AMARYLLIS,Nos,2790,15,2371.5
AMARYLLIS V FAN BETA-6,AMARYLLIS,Nos,3490,15,2966.5
AMARYLLIS V FAN DELTA-I-4,AMARYLLIS,Nos,4390,15,3731.5
AMARYLLIS V FAN DELTA-I-5,AMARYLLIS,Nos,4890,15,4156.5
AMARYLLIS V FAN DELTA-I-6,AMARYLLIS,Nos,5890,15,5006.5
AMARYLLIS V FAN DELTA-W-4,AMARYLLIS,Nos,3490,15,2966.5
AMARYLLIS V FAN DELTA-W-5,AMARYLLIS,Nos,3790,15,3221.5
AMARYLLIS V FAN DELTA-W-6,AMARYLLIS,Nos,4990,15,4241.5
AMARYLLIS V FAN GAMMA-4,AMARYLLIS,Nos,3190,15,2711.5
AMARYLLIS V FAN GAMMA-6,AMARYLLIS,Nos,4590,15,3901.5
AMARYLLIS V FAN GRILL X-160MM,AMARYLLIS,Nos,3190,15,2711.5
AMARYLLIS V FAN GRILL X-190MM,AMARYLLIS,Nos,3790,15,3221.5
AMARYLLIS V FAN GRILL X-225MM,AMARYLLIS,Nos,4290,15,3646.5
AMARYLLIS V FAN GRILL X-300MM,AMARYLLIS,Nos,6650,15,5652.5
AMARYLLIS V FAN PHI (I) - 4,AMARYLLIS,Nos,4190,15,3561.5
AMARYLLIS V FAN PHI (I) - 5,AMARYLLIS,Nos,4690,15,3986.5
AMARYLLIS V FAN PHI (I) - 6,AMARYLLIS,Nos,5690,15,4836.5
AMARYLLIS V FAN PHI (W) - 4,AMARYLLIS,Nos,3290,15,2796.5
AMARYLLIS V FAN PHI (W) - 5,AMARYLLIS,Nos,3690,15,3136.5
AMARYLLIS V FAN PHI (W) - 6,AMARYLLIS,Nos,4790,15,4071.5
AMARYLLIS V FAN SIGMA-12,AMARYLLIS,Nos,25500,15,21675
AMARYLLIS V FAN SIGMA-4,AMARYLLIS,Nos,6190,15,5261.5
AMARYLLIS V FAN SIGMA-6,AMARYLLIS,Nos,9590,15,8151.5
AMARYLLIS V FAN SIGMA-8,AMARYLLIS,Nos,14390,15,12231.5
AMARYLLIS V FAN STAR (B)-4,AMARYLLIS,Nos,1990,15,1691.5
AMARYLLIS V FAN STAR (B)-6,AMARYLLIS,Nos,2590,15,2201.5
AMARYLLIS V FAN STAR (G)-6,AMARYLLIS,Nos,2590,15,2201.5
AMARYLLIS V FAN STAR (I)-4,AMARYLLIS,Nos,2790,15,2371.5
AMARYLLIS V FAN STAR (I)-6,AMARYLLIS,Nos,3590,15,3051.5
AMARYLLIS V FAN STAR-4,AMARYLLIS,Nos,1990,15,1691.5
AMARYLLIS V FAN STAR-6,AMARYLLIS,Nos,2590,15,2201.5
AMARYLLIS V FAN WIND-10,AMARYLLIS,Nos,6270,15,5329.5
AMARYLLIS V FAN WIND-12,AMARYLLIS,Nos,7160,15,6086
AMARYLLIS V FAN ZETA - AW -  8,AMARYLLIS,Nos,4250,15,3612.5
AMARYLLIS V FAN ZETA - AW - 10,AMARYLLIS,Nos,4850,15,4122.5
AMARYLLIS V FAN ZETA - DW -  8,AMARYLLIS,Nos,5250,15,4462.5
AMARYLLIS V FAN ZETA - DW -  8 (SQ-PS),AMARYLLIS,Nos,5450,15,4632.5
AMARYLLIS V FAN ZETA - DW - 10,AMARYLLIS,Nos,5500,15,4675
AMARYLLIS V FAN ZETA - DW - 11,AMARYLLIS,Nos,6850,15,5822.5
AMARYLLIS VENTILATION SOLUTIONS,AMARYLLIS,Nos,2000,15,1700
AMCAP POWER CAPACITOR  1kVAr HD,AMCAP,Nos,200,,200
AMCAP POWER CAPACITOR  2kVAr HD,AMCAP,Nos,400,,400
AMCAP POWER CAPACITOR  5kVAr HD,AMCAP,Nos,1000,,1000
AMCAP POWER CAPACITOR 10kVAr HD,AMCAP,Nos,2000,,2000
AMCAP POWER CAPACITOR 20kVAr HD,AMCAP,Nos,4000,,4000
AMCAP POWER CAPACITOR 25kVAr HD,AMCAP,Nos,5000,,5000
ANCHOR PANASONIC WIRE 0.75 SQ.MM 180 Mtr,ANCHOR,Coil,2564,39,1564.04
ANCHOR PANASONIC WIRE 1.0 SQ.MM 180 Mtr,ANCHOR,Coil,3348,39,2042.28
ANCHOR PANASONIC WIRE 1.5 SQ.MM 180 Mtr,ANCHOR,Coil,4926,39,3004.86
ANCHOR PANASONIC WIRE 2.5 SQ.MM 180 Mtr,ANCHOR,Coil,7940,39,4843.4
ANCHOR PANASONIC WIRE 4.0 SQ.MM 180 Mtr,ANCHOR,Coil,11750,39,7167.5
ANCHOR PENTA WH BELL SWITCH 1M 65003,ANCHOR PENTA,Nos,90,45,49.5
ANCHOR PENTA WH BELL SWITCH 2M 65066,ANCHOR PENTA,Nos,127,45,69.85
ANCHOR PENTA WH BLANK PLATE 65503,ANCHOR PENTA,Nos,27,45,14.85
ANCHOR PENTA WH DP SWITCH 32A 65032,ANCHOR PENTA,Nos,210,45,115.5
ANCHOR PENTA WH FAN REGULATOR 1M 65301,ANCHOR PENTA,Nos,342,45,188.1
ANCHOR PENTA WH FAN REGULATOR 2M 65302,ANCHOR PENTA,Nos,405,45,222.75
ANCHOR PENTA WH INDICATOR 65504,ANCHOR PENTA,Nos,93,45,51.15
ANCHOR PENTA WH MCB 16A SP 1M 65982,ANCHOR PENTA,Nos,281,45,154.55
ANCHOR PENTA WH PLATE  1M 65901,ANCHOR PENTA,Nos,85,45,46.75
ANCHOR PENTA WH PLATE  2M 65902,ANCHOR PENTA,Nos,85,45,46.75
ANCHOR PENTA WH PLATE  3M 65903,ANCHOR PENTA,Nos,120,45,66
ANCHOR PENTA WH PLATE  4M 65904,ANCHOR PENTA,Nos,132,45,72.6
ANCHOR PENTA WH PLATE  6M 65906,ANCHOR PENTA,Nos,192,45,105.6
ANCHOR PENTA WH PLATE  8M HZ 65908,ANCHOR PENTA,Nos,252,45,138.6
ANCHOR PENTA WH PLATE  8M SQ 65988,ANCHOR PENTA,Nos,252,45,138.6
ANCHOR PENTA WH PLATE 12M 65912,ANCHOR PENTA,Nos,301,45,165.55
ANCHOR PENTA WH PLATE 18M 65918,ANCHOR PENTA,Nos,338,45,185.9
ANCHOR PENTA WH SOCKET  6A 65203,ANCHOR PENTA,Nos,124,45,68.2
ANCHOR PENTA WH SOCKET 16A 65205,ANCHOR PENTA,Nos,184,45,101.2
ANCHOR PENTA WH SWITCH  6A 1 WAY 65001,ANCHOR PENTA,Nos,40,52,19.2
ANCHOR PENTA WH SWITCH  6A 2 WAY 65002,ANCHOR PENTA,Nos,87,45,47.85
ANCHOR PENTA WH SWITCH 16A 1 WAY 65077,ANCHOR PENTA,Nos,118,45,64.9
ANCHOR PENTA WH SWITCH 16A 2 WAY 65008,ANCHOR PENTA,Nos,140,45,77
ANCHOR SURFACE PILOT BUZZER,ANCHOR,Nos,89,30,62.3
ANCHOR THREE PIN TOP  6A,ANCHOR,Nos,70,,70
ANCHOR THREE PIN TOP 16A,ANCHOR,Nos,80,,80
